CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,Male,0,No,Yes,29,No,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,112.83,4892.06,0
2,Female,1,No,No,16,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,87.6,7129.47,0
3,Male,0,Yes,No,61,No,No,No,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,69.6,4948.57,1
4,Male,0,Yes,No,12,No,Yes,No,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card,21.27,5523.84,1
5,Male,1,No,Yes,58,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,119.24,2050.8,0
6,Female,0,No,Yes,18,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Mailed check,87.15,7625.33,0
7,Male,1,No,Yes,48,No,Yes,No,No,Yes,Yes,Yes,No,No,Two year,No,Credit card,51.69,3869.1,1
8,Male,1,No,No,11,No,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,107.93,1285.82,0
9,Male,1,No,No,60,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,45.84,5984.41,0
10,Female,0,No,No,18,No,No,No,No,Yes,Yes,Yes,No,No,Two year,No,Credit card,74.4,1960.49,0
11,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,83.61,896.11,0
12,Male,0,No,No,70,No,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,42.11,7760.64,0
13,Male,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,117.84,4152.26,0
14,Male,0,Yes,No,51,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,94.82,6748.57,1
15,Female,0,Yes,No,15,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,75.78,2629.48,0
16,Male,0,Yes,Yes,68,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,38.06,7086.99,0
17,Female,1,Yes,Yes,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,25.39,1025.18,1
18,Female,0,No,No,24,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,52.01,3216.64,1
19,Female,1,No,Yes,51,Yes,Yes,No,No,No,No,No,No,Yes,Two year,No,Electronic check,95.32,8803.0,1
20,Male,0,No,Yes,52,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,46.93,7150.03,0
21,Female,0,No,No,22,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,73.96,4485.36,1
22,Male,0,No,No,15,No,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,92.79,3071.2,0
23,Female,1,No,Yes,56,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer,30.79,7851.78,0
24,Female,1,Yes,No,38,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer,88.53,4912.73,0
25,Female,1,No,Yes,52,No,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,29.19,6830.66,1
26,Female,1,Yes,No,41,No,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card,116.51,6791.89,1
27,Female,0,Yes,Yes,57,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,68.84,181.15,1
28,Female,1,No,No,38,No,No,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer,35.07,1153.76,1
29,Female,0,Yes,Yes,13,No,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card,54.24,5943.47,1
30,Female,0,No,Yes,4,No,No,No,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card,61.34,1471.35,0
31,Male,1,Yes,Yes,34,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,95.82,2314.33,0
32,Male,1,No,No,17,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer,94.34,8520.81,0
33,Female,1,Yes,Yes,8,Yes,Yes,No,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer,81.19,5050.44,0
34,Female,1,No,Yes,57,No,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card,30.59,6761.55,1
35,Female,1,No,No,16,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,35.16,5030.67,1
36,Male,1,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,29.38,4981.57,0
37,Female,1,No,Yes,45,Yes,No,No,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,77.72,865.48,1
38,Male,1,No,Yes,12,No,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer,107.71,3106.1,1
39,Male,0,Yes,No,39,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,63.38,2556.23,0
40,Male,1,Yes,No,41,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,36.08,3528.74,0
41,Male,1,Yes,No,8,No,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Bank transfer,75.8,7189.13,1
42,Male,0,No,No,49,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer,101.18,3359.96,1
43,Female,1,Yes,No,26,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Two year,No,Mailed check,94.17,4076.24,0
44,Female,0,No,Yes,65,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer,108.15,3588.48,0
45,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card,47.79,858.8,0
46,Female,1,Yes,Yes,28,No,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Electronic check,39.4,3980.83,1
47,Female,0,Yes,Yes,36,No,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,107.98,1776.57,0
48,Male,0,No,Yes,37,No,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer,85.76,1696.78,0
49,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,51.09,864.44,1
50,Female,0,No,Yes,64,No,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,94.23,3222.91,1
51,Male,1,No,Yes,16,Yes,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,101.51,6822.19,1
52,Female,0,No,No,70,No,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Electronic check,81.5,2502.45,1
53,Male,1,No,Yes,44,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,88.79,2824.89,1
54,Female,0,No,Yes,3,Yes,No,No,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,57.53,5791.22,0
55,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,73.87,1778.65,0
56,Female,0,Yes,Yes,69,No,No,No,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,72.42,8074.68,1
57,Female,0,No,Yes,30,No,Yes,No,No,No,No,No,Yes,No,One year,Yes,Bank transfer,104.8,4691.31,1
58,Male,1,No,Yes,18,No,No,No,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,104.0,4039.47,1
59,Male,1,Yes,No,60,No,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,103.27,5029.23,1
60,Male,0,Yes,No,53,Yes,No,No,Yes,No,No,No,Yes,No,One year,No,Electronic check,21.1,1510.99,1
61,Male,0,No,No,38,No,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,94.95,5528.99,0
62,Male,1,Yes,Yes,18,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,95.87,3280.64,0
63,Male,0,No,Yes,38,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,87.84,8076.73,0
64,Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer,95.63,1536.31,0
65,Male,0,No,Yes,44,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer,104.2,4573.32,1
66,Female,1,Yes,Yes,12,No,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,67.03,5391.05,0
67,Female,1,No,No,57,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.21,319.78,1
68,Male,1,Yes,No,19,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,32.47,3285.96,1
69,Female,0,Yes,Yes,71,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,58.54,6599.06,1
70,Female,0,No,Yes,60,No,No,No,No,No,Yes,No,Yes,No,One year,No,Mailed check,84.34,7386.99,0
71,Female,1,Yes,Yes,38,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer,98.04,2832.19,1
72,Female,1,No,No,0,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer,41.72,7191.37,0
73,Male,1,Yes,No,2,No,No,No,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer,33.78,8710.45,0
74,Female,1,No,No,61,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,86.3,7714.73,1
75,Male,0,Yes,No,62,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,20.19,1076.44,1
76,Female,1,No,Yes,24,No,Yes,No,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card,37.84,6662.78,1
77,Female,0,Yes,No,55,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card,22.91,2890.61,0
78,Female,1,No,No,32,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,36.69,8895.98,1
79,Male,0,Yes,No,37,No,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer,38.13,4378.52,0
80,Female,1,No,No,5,No,No,No,No,No,Yes,No,No,No,Two year,No,Credit card,58.77,1119.46,1
